map_name,map_size,obstacles_number,agents_number,solver,is_done,sum_of_costs,makespan,simulation_time
benchmarks\empty-32-32.txt,1024,0,50,DCMAPF,True,961,43,25.59
benchmarks\empty-32-32.txt,1024,0,100,DCMAPF,True,2266,51,36.46
benchmarks\empty-32-32.txt,1024,0,150,DCMAPF,True,3763,80,78.48
benchmarks\empty-32-32.txt,1024,0,200,DCMAPF,True,5437,85,117.61
benchmarks\empty-32-32.txt,1024,0,250,DCMAPF,True,7235,125,274.72
benchmarks\empty-32-32.txt,1024,0,300,DCMAPF,True,10366,190,757.19
benchmarks\empty-48-48.txt,2304,0,50,DCMAPF,True,1622,75,8.07
benchmarks\empty-48-48.txt,2304,0,100,DCMAPF,True,3240,75,18.79
benchmarks\empty-48-48.txt,2304,0,150,DCMAPF,True,4983,78,39.27
benchmarks\empty-48-48.txt,2304,0,200,DCMAPF,True,6851,85,68.09
benchmarks\empty-48-48.txt,2304,0,250,DCMAPF,True,8561,89,121.51
benchmarks\empty-48-48.txt,2304,0,300,DCMAPF,True,10605,87,162.37
benchmarks\empty-48-48.txt,2304,0,350,DCMAPF,True,12850,104,299.37
benchmarks\empty-48-48.txt,2304,0,400,DCMAPF,True,15315,115,416.8
benchmarks\lak303d.txt,37636,22852,50,DCMAPF,True,9091,433,106.35
benchmarks\lak303d.txt,37636,22852,100,DCMAPF,True,20468,446,244.05
benchmarks\lak303d.txt,37636,22852,150,DCMAPF,True,30271,513,737.8
benchmarks\lak303d.txt,37636,22852,200,DCMAPF,True,42663,594,1883.36
benchmarks\ost003d.txt,37636,24422,50,DCMAPF,True,9025,385,104.05
benchmarks\ost003d.txt,37636,24422,100,DCMAPF,True,17170,407,223.45
benchmarks\ost003d.txt,37636,24422,150,DCMAPF,True,27081,488,609.75
benchmarks\ost003d.txt,37636,24422,200,DCMAPF,True,34808,492,1243.75
benchmarks\ost003d.txt,37636,24422,250,DCMAPF,True,45005,534,1824.52
benchmarks\ost003d.txt,37636,24422,300,DCMAPF,True,57243,765,6516.45
benchmarks\random-32-32-20.txt,1024,205,50,DCMAPF,True,1154,49,4.82
benchmarks\random-32-32-20.txt,1024,205,100,DCMAPF,True,2687,72,16.21
benchmarks\random-32-32-20.txt,1024,205,150,DCMAPF,True,5149,111,70.88
benchmarks\random-32-32-20.txt,1024,205,200,DCMAPF,True,7545,132,136.08
benchmarks\warehouse-20-40-10-2-2.txt,55760,17004,50,DCMAPF,True,8297,372,92.46
benchmarks\warehouse-20-40-10-2-2.txt,55760,17004,100,DCMAPF,True,17722,378,154.34
benchmarks\warehouse-20-40-10-2-2.txt,55760,17004,150,DCMAPF,True,27573,405,286.39
benchmarks\warehouse-20-40-10-2-2.txt,55760,17004,200,DCMAPF,True,36748,405,409.7
benchmarks\warehouse-20-40-10-2-2.txt,55760,17004,250,DCMAPF,True,44864,440,685.88
benchmarks\warehouse-20-40-10-2-2.txt,55760,17004,300,DCMAPF,True,53929,440,892.45
benchmarks\warehouse-20-40-10-2-2.txt,55760,17004,350,DCMAPF,True,64496,440,1249.24
benchmarks\warehouse-20-40-10-2-2.txt,55760,17004,400,DCMAPF,True,72850,440,1519.86
benchmarks\random-64-64-20.txt,4096,826,50,DCMAPF,True,2182,92,9.92
benchmarks\random-64-64-20.txt,4096,826,100,DCMAPF,True,4233,101,25.26
benchmarks\random-64-64-20.txt,4096,826,150,DCMAPF,True,6547,118,69.28
benchmarks\random-64-64-20.txt,4096,826,200,DCMAPF,True,9319,120,114.52
benchmarks\random-64-64-20.txt,4096,826,250,DCMAPF,True,12170,140,206.54
benchmarks\random-64-64-20.txt,4096,826,300,DCMAPF,True,15587,164,367.23
benchmarks\random-64-64-20.txt,4096,826,350,DCMAPF,True,19453,186,921.48
benchmarks\random-64-64-20.txt,4096,826,400,DCMAPF,True,23351,202,1067.05
