map_name,map_size,obstacles_number,agents_number,sum_of_costs,is_done,steps_number,simulation_time
conf_experiments/maps_storage\map_1.txt,1024,102,10,158,True,32,36
conf_experiments/maps_storage\map_2.txt,1024,102,15,268,True,38,58
conf_experiments/maps_storage\map_3.txt,1024,102,20,368,True,45,100
conf_experiments/maps_storage\map_4.txt,1024,102,25,464,True,45,124
conf_experiments/maps_storage\map_5.txt,1024,102,30,620,True,55,216
conf_experiments/maps_storage\map_6.txt,1024,102,35,751,True,46,143
conf_experiments/maps_storage\map_7.txt,1024,102,40,956,True,52,211
conf_experiments/maps_storage\map_8.txt,1024,102,45,1128,True,54,257
conf_experiments/maps_storage\map_9.txt,1024,102,50,833,True,35,128
conf_experiments/maps_storage\map_10.txt,1024,102,55,1188,True,41,175
conf_experiments/maps_storage\map_11.txt,1024,358,10,558,True,120,452
conf_experiments/maps_storage\map_12.txt,1024,358,15,801,True,118,475
conf_experiments/maps_storage\map_13.txt,1024,358,20,1373,True,141,882
conf_experiments/maps_storage\map_14.txt,1024,358,25,1505,True,135,957
conf_experiments/maps_storage\map_15.txt,1024,358,30,1514,True,137,1075
conf_experiments/maps_storage\map_16.txt,1024,358,35,1896,True,148,1510
conf_experiments/maps_storage\map_17.txt,1024,358,40,2713,True,152,1767
conf_experiments/maps_storage\map_18.txt,1024,358,55,3861,True,204,5740
conf_experiments/maps_storage\map_19.txt,1024,358,45,3091,True,161,2999
conf_experiments/maps_storage\map_20.txt,1024,358,50,3297,True,145,2295

