map_name,map_size,obstacles_number,agents_number,sum_of_costs,is_done,steps_number,simulation_time
benchmarks\map_32-32-20.txt,1024,205,45,1005,True,48,163
benchmarks\map_32-32-20.txt,1024,205,45,1032,True,49,173
benchmarks\map_32-32-20.txt,1024,205,45,1046,True,57,216
benchmarks\map_32-32-20.txt,1024,205,45,1149,True,62,248
benchmarks\map_32-32-20.txt,1024,205,45,1049,True,44,145
benchmarks\map_32-32-20.txt,1024,205,45,1059,True,44,151
benchmarks\map_32-32-20.txt,1024,205,45,1011,True,53,194
benchmarks\map_32-32-20.txt,1024,205,45,1098,True,54,203
benchmarks\map_32-32-20.txt,1024,205,45,911,True,43,141
benchmarks\map_32-32-20.txt,1024,205,45,1050,True,53,190
benchmarks\map_32-32-20.txt,1024,205,45,1175,True,52,203
benchmarks\map_32-32-20.txt,1024,205,45,1221,True,56,227
benchmarks\map_32-32-20.txt,1024,205,45,1106,True,42,149
benchmarks\map_32-32-20.txt,1024,205,45,1039,True,47,170
benchmarks\map_32-32-20.txt,1024,205,45,1124,True,53,217
benchmarks\map_32-32-20.txt,1024,205,45,1068,True,54,237
benchmarks\map_32-32-20.txt,1024,205,45,1132,True,49,170
benchmarks\map_32-32-20.txt,1024,205,45,920,True,56,194
benchmarks\map_32-32-20.txt,1024,205,45,998,True,52,190
benchmarks\map_32-32-20.txt,1024,205,45,1032,True,62,239
benchmarks\map_32-32-20.txt,1024,205,45,1169,True,47,166
benchmarks\map_32-32-20.txt,1024,205,45,1146,True,50,185
benchmarks\map_32-32-20.txt,1024,205,45,1086,True,54,209
benchmarks\map_32-32-20.txt,1024,205,45,1144,True,55,223
benchmarks\map_32-32-20.txt,1024,205,60,1414,True,51,256
benchmarks\map_32-32-20.txt,1024,205,60,1512,True,52,270
benchmarks\map_32-32-20.txt,1024,205,60,1479,True,60,322
benchmarks\map_32-32-20.txt,1024,205,60,1413,True,47,230
benchmarks\map_32-32-20.txt,1024,205,60,1517,True,56,316
benchmarks\map_32-32-20.txt,1024,205,60,1615,True,64,387
benchmarks\map_32-32-20.txt,1024,205,60,1443,True,69,435
benchmarks\map_32-32-20.txt,1024,205,60,1348,True,55,312
benchmarks\map_32-32-20.txt,1024,205,60,1574,True,55,317
benchmarks\map_32-32-20.txt,1024,205,60,1399,True,56,317
benchmarks\map_32-32-20.txt,1024,205,60,1604,True,58,343
benchmarks\map_32-32-20.txt,1024,205,60,1373,True,49,254
benchmarks\map_32-32-20.txt,1024,205,60,1475,True,59,344
benchmarks\map_32-32-20.txt,1024,205,60,1540,True,60,376
benchmarks\map_32-32-20.txt,1024,205,60,1512,True,66,452
benchmarks\map_32-32-20.txt,1024,205,60,1357,True,56,295
benchmarks\map_32-32-20.txt,1024,205,60,1387,True,52,286
benchmarks\map_32-32-20.txt,1024,205,60,1493,True,56,314
benchmarks\map_32-32-20.txt,1024,205,60,1604,True,53,294
benchmarks\map_32-32-20.txt,1024,205,60,1562,True,49,259
benchmarks\map_32-32-20.txt,1024,205,60,1311,True,58,326
benchmarks\map_32-32-20.txt,1024,205,60,1500,True,57,332
benchmarks\map_32-32-20.txt,1024,205,60,1554,True,57,341
benchmarks\map_32-32-20.txt,1024,205,60,1435,True,51,257
benchmarks\map_32-32-20.txt,1024,205,60,1554,True,62,378
benchmarks\map_32-32-20.txt,1024,205,75,1768,True,55,379
benchmarks\map_32-32-20.txt,1024,205,75,1880,True,57,400
benchmarks\map_32-32-20.txt,1024,205,75,1869,True,53,389
benchmarks\map_32-32-20.txt,1024,205,75,1925,True,60,469
benchmarks\map_32-32-20.txt,1024,205,75,2102,True,74,665
benchmarks\map_32-32-20.txt,1024,205,75,1937,True,88,824
benchmarks\map_32-32-20.txt,1024,205,75,1783,True,60,483
benchmarks\map_32-32-20.txt,1024,205,75,1951,True,63,517
benchmarks\map_32-32-20.txt,1024,205,75,1957,True,69,619
benchmarks\map_32-32-20.txt,1024,205,75,1879,True,71,675
benchmarks\map_32-32-20.txt,1024,205,75,1876,True,57,435
benchmarks\map_32-32-20.txt,1024,205,75,1985,True,55,433
benchmarks\map_32-32-20.txt,1024,205,75,1923,True,58,476
benchmarks\map_32-32-20.txt,1024,205,75,2035,True,65,583
benchmarks\map_32-32-20.txt,1024,205,75,1848,True,58,425
benchmarks\map_32-32-20.txt,1024,205,75,1866,True,61,466
benchmarks\map_32-32-20.txt,1024,205,75,1717,True,63,494
benchmarks\map_32-32-20.txt,1024,205,75,2090,True,74,719
benchmarks\map_32-32-20.txt,1024,205,75,1745,True,54,384
benchmarks\map_32-32-20.txt,1024,205,75,1946,True,54,418
benchmarks\map_32-32-20.txt,1024,205,75,1845,True,59,484
benchmarks\map_32-32-20.txt,1024,205,75,2156,True,79,845
benchmarks\map_32-32-20.txt,1024,205,75,1965,True,65,549
benchmarks\map_32-32-20.txt,1024,205,75,1941,True,65,588
benchmarks\map_32-32-20.txt,1024,205,75,2059,True,69,628
benchmarks\map_32-32-20.txt,1024,205,90,2483,True,88,1083
benchmarks\map_32-32-20.txt,1024,205,90,2366,True,65,683
benchmarks\map_32-32-20.txt,1024,205,90,2149,True,61,644
benchmarks\map_32-32-20.txt,1024,205,90,2462,True,90,1145
benchmarks\map_32-32-20.txt,1024,205,90,2615,True,81,1027
benchmarks\map_32-32-20.txt,1024,205,90,2282,True,53,500
benchmarks\map_32-32-20.txt,1024,205,90,2357,True,70,817
benchmarks\map_32-32-20.txt,1024,205,90,2372,True,68,819
benchmarks\map_32-32-20.txt,1024,205,90,2458,True,82,1194
benchmarks\map_32-32-20.txt,1024,205,90,2417,True,59,615
benchmarks\map_32-32-20.txt,1024,205,90,2511,True,63,699
benchmarks\map_32-32-20.txt,1024,205,90,2446,True,75,914
benchmarks\map_32-32-20.txt,1024,205,90,2420,True,77,1039
benchmarks\map_32-32-20.txt,1024,205,90,2358,True,55,599
benchmarks\map_32-32-20.txt,1024,205,90,2243,True,67,747
benchmarks\map_32-32-20.txt,1024,205,90,2514,True,83,1224
benchmarks\map_32-32-20.txt,1024,205,90,2588,True,85,1300
benchmarks\map_32-32-20.txt,1024,205,90,2292,True,65,670
benchmarks\map_32-32-20.txt,1024,205,90,2208,True,61,662
benchmarks\map_32-32-20.txt,1024,205,90,2262,True,79,973
benchmarks\map_32-32-20.txt,1024,205,90,2689,True,92,1328
benchmarks\map_32-32-20.txt,1024,205,90,2389,True,63,668
benchmarks\map_32-32-20.txt,1024,205,90,2668,True,68,862
benchmarks\map_32-32-20.txt,1024,205,90,2492,True,86,1219
benchmarks\map_32-32-20.txt,1024,205,90,2596,True,88,1290
benchmarks\map_32-32-20.txt,1024,205,105,2685,True,68,937
benchmarks\map_32-32-20.txt,1024,205,105,2897,True,72,1035
benchmarks\map_32-32-20.txt,1024,205,105,3004,True,89,1443
benchmarks\map_32-32-20.txt,1024,205,105,3339,True,109,2212
benchmarks\map_32-32-20.txt,1024,205,105,2981,True,86,1403
benchmarks\map_32-32-20.txt,1024,205,105,2907,True,80,1354
benchmarks\map_32-32-20.txt,1024,205,105,2981,True,95,1643
benchmarks\map_32-32-20.txt,1024,205,105,3009,True,91,1743
benchmarks\map_32-32-20.txt,1024,205,105,2831,True,64,858
benchmarks\map_32-32-20.txt,1024,205,105,2839,True,70,976
benchmarks\map_32-32-20.txt,1024,205,105,2817,True,81,1228
benchmarks\map_32-32-20.txt,1024,205,105,2867,True,90,1625
benchmarks\map_32-32-20.txt,1024,205,105,2934,True,87,1510
benchmarks\map_32-32-20.txt,1024,205,105,3093,True,84,1582
benchmarks\map_32-32-20.txt,1024,205,105,3104,True,106,2067
benchmarks\map_32-32-20.txt,1024,205,105,3222,True,100,2159
benchmarks\map_32-32-20.txt,1024,205,105,2592,True,64,838
benchmarks\map_32-32-20.txt,1024,205,105,2758,True,65,870
benchmarks\map_32-32-20.txt,1024,205,105,2849,False,65,844
benchmarks\map_32-32-20.txt,1024,205,105,2887,True,78,1266
benchmarks\map_32-32-20.txt,1024,205,105,2843,True,71,1027
benchmarks\map_32-32-20.txt,1024,205,105,3056,True,77,1202
benchmarks\map_32-32-20.txt,1024,205,105,3041,True,85,1460
benchmarks\map_32-32-20.txt,1024,205,105,3228,True,104,2570
benchmarks\map_32-32-20.txt,1024,205,120,3434,True,73,1331
benchmarks\map_32-32-20.txt,1024,205,120,3209,True,81,1493
benchmarks\map_32-32-20.txt,1024,205,105,3168,True,108,2628
benchmarks\map_32-32-20.txt,1024,205,120,3898,True,108,2855
benchmarks\map_32-32-20.txt,1024,205,120,3599,True,85,1914
benchmarks\map_32-32-20.txt,1024,205,120,3673,True,95,2260
benchmarks\map_32-32-20.txt,1024,205,120,3885,True,105,2607
benchmarks\map_32-32-20.txt,1024,205,120,3657,True,108,3119
benchmarks\map_32-32-20.txt,1024,205,120,3300,True,68,1232
benchmarks\map_32-32-20.txt,1024,205,120,3405,True,98,2381
benchmarks\map_32-32-20.txt,1024,205,120,3611,True,100,2520
benchmarks\map_32-32-20.txt,1024,205,120,3646,True,108,2854
benchmarks\map_32-32-20.txt,1024,205,120,3400,True,80,1527
benchmarks\map_32-32-20.txt,1024,205,120,3408,True,78,1645
benchmarks\map_32-32-20.txt,1024,205,120,3614,True,113,3471
benchmarks\map_32-32-20.txt,1024,205,120,3661,True,118,4226
benchmarks\map_32-32-20.txt,1024,205,120,2802,False,48,679
benchmarks\map_32-32-20.txt,1024,205,120,3209,True,72,1350
benchmarks\map_32-32-20.txt,1024,205,120,3412,True,80,1605
benchmarks\map_32-32-20.txt,1024,205,120,3965,True,133,4208
benchmarks\map_32-32-20.txt,1024,205,120,3470,True,82,1720
benchmarks\map_32-32-20.txt,1024,205,120,3339,True,96,2052
benchmarks\map_32-32-20.txt,1024,205,120,3556,True,90,1919
benchmarks\map_32-32-20.txt,1024,205,120,3890,True,111,3043
benchmarks\map_32-32-20.txt,1024,205,120,3604,True,85,1813
benchmarks\map_32-32-20.txt,1024,205,120,3795,True,96,2554
benchmarks\map_32-32-20.txt,1024,205,135,4375,True,101,2964
benchmarks\map_32-32-20.txt,1024,205,135,3668,False,600,78094
benchmarks\map_32-32-20.txt,1024,205,135,4142,True,101,2796
benchmarks\map_32-32-20.txt,1024,205,135,4275,True,99,3038
benchmarks\map_32-32-20.txt,1024,205,135,4846,True,151,6281
benchmarks\map_32-32-20.txt,1024,205,135,4705,True,159,9192
benchmarks\map_32-32-20.txt,1024,205,135,4346,True,102,3224
benchmarks\map_32-32-20.txt,1024,205,135,4310,True,138,5530
benchmarks\map_32-32-20.txt,1024,205,135,4328,True,119,4942
benchmarks\map_32-32-20.txt,1024,205,135,4567,True,155,7754
benchmarks\map_32-32-20.txt,1024,205,135,3833,True,70,1499
benchmarks\map_32-32-20.txt,1024,205,135,4004,True,88,2443
benchmarks\map_32-32-20.txt,1024,205,135,4048,True,107,3455
benchmarks\map_32-32-20.txt,1024,205,135,4341,True,113,3802
benchmarks\map_32-32-20.txt,1024,205,135,3244,False,46,717
benchmarks\map_32-32-20.txt,1024,205,135,3838,True,92,2439
benchmarks\map_32-32-20.txt,1024,205,135,4274,True,122,4591
benchmarks\map_32-32-20.txt,1024,205,135,4510,True,121,5097
benchmarks\map_32-32-20.txt,1024,205,135,4068,True,88,2364
benchmarks\map_32-32-20.txt,1024,205,135,4118,True,98,2812
benchmarks\map_32-32-20.txt,1024,205,135,4242,True,115,3699
benchmarks\map_32-32-20.txt,1024,205,135,4514,True,116,4105
benchmarks\map_32-32-20.txt,1024,205,135,4000,True,83,2315
benchmarks\map_32-32-20.txt,1024,205,135,4393,True,109,3634
benchmarks\map_32-32-20.txt,1024,205,135,4306,True,113,3768
benchmarks\map_32-32-20.txt,1024,205,150,5219,True,126,5389
benchmarks\map_32-32-20.txt,1024,205,150,4713,True,89,2871
benchmarks\map_32-32-20.txt,1024,205,150,4913,True,106,3753
benchmarks\map_32-32-20.txt,1024,205,150,4562,True,98,3788
benchmarks\map_32-32-20.txt,1024,205,150,4785,True,128,5899
benchmarks\map_32-32-20.txt,1024,205,150,4929,True,123,5523
benchmarks\map_32-32-20.txt,1024,205,150,5130,True,145,9492
benchmarks\map_32-32-20.txt,1024,205,150,5319,True,148,10025
benchmarks\map_32-32-20.txt,1024,205,150,5463,True,183,12111
benchmarks\map_32-32-20.txt,1024,205,150,4664,True,93,3071
benchmarks\map_32-32-20.txt,1024,205,150,4720,True,98,3332
benchmarks\map_32-32-20.txt,1024,205,150,5155,True,131,6964
benchmarks\map_32-32-20.txt,1024,205,150,5092,True,124,7065
benchmarks\map_32-32-20.txt,1024,205,150,5289,True,131,5723
benchmarks\map_32-32-20.txt,1024,205,150,5090,True,138,6498
benchmarks\map_32-32-20.txt,1024,205,150,4832,True,116,5432
benchmarks\map_32-32-20.txt,1024,205,150,4640,True,128,6614
benchmarks\map_32-32-20.txt,1024,205,150,3810,False,50,988
benchmarks\map_32-32-20.txt,1024,205,150,4669,True,97,3137
benchmarks\map_32-32-20.txt,1024,205,150,4569,True,96,3299
benchmarks\map_32-32-20.txt,1024,205,150,5208,True,132,6569
benchmarks\map_32-32-20.txt,1024,205,150,4982,True,121,4743
benchmarks\map_32-32-20.txt,1024,205,150,4861,True,103,4093
benchmarks\map_32-32-20.txt,1024,205,150,4827,True,113,4797
benchmarks\map_32-32-20.txt,1024,205,150,5406,True,147,8944
