map_name,map_size,obstacles_number,agents_number,sum_of_costs,is_done,steps_number,simulation_time
benchmarks\warehouse-10-20-10-2-1.txt,10143,4444,150,15015,True,209,14097
benchmarks\warehouse-10-20-10-2-1.txt,10143,4444,150,14169,True,225,15521
benchmarks\warehouse-10-20-10-2-1.txt,10143,4444,150,14954,True,236,17061
benchmarks\warehouse-10-20-10-2-1.txt,10143,4444,150,15317,True,224,16366
benchmarks\warehouse-10-20-10-2-1.txt,10143,4444,150,14430,True,205,13047
benchmarks\warehouse-10-20-10-2-1.txt,10143,4444,150,14482,True,229,16147
benchmarks\warehouse-10-20-10-2-1.txt,10143,4444,150,14950,True,243,18028
benchmarks\warehouse-10-20-10-2-1.txt,10143,4444,150,15176,True,238,18329
benchmarks\warehouse-10-20-10-2-1.txt,10143,4444,150,14454,True,227,15643
benchmarks\warehouse-10-20-10-2-1.txt,10143,4444,150,13772,True,222,15304
benchmarks\warehouse-10-20-10-2-1.txt,10143,4444,150,14535,True,234,16552
benchmarks\warehouse-10-20-10-2-1.txt,10143,4444,150,15037,True,239,17763
benchmarks\warehouse-10-20-10-2-1.txt,10143,4444,150,14731,True,200,13556
benchmarks\warehouse-10-20-10-2-1.txt,10143,4444,150,15045,True,212,14122
benchmarks\warehouse-10-20-10-2-1.txt,10143,4444,150,14908,True,244,17618
benchmarks\warehouse-10-20-10-2-1.txt,10143,4444,150,14859,True,222,17679
benchmarks\warehouse-10-20-10-2-1.txt,10143,4444,150,14846,True,214,14730
benchmarks\warehouse-10-20-10-2-1.txt,10143,4444,150,13657,True,239,17281
benchmarks\warehouse-10-20-10-2-1.txt,10143,4444,150,15580,True,234,17515
benchmarks\warehouse-10-20-10-2-1.txt,10143,4444,150,15066,True,259,22563
benchmarks\warehouse-10-20-10-2-1.txt,10143,4444,150,13778,True,211,13443
benchmarks\warehouse-10-20-10-2-1.txt,10143,4444,150,13506,True,249,17658
benchmarks\warehouse-10-20-10-2-1.txt,10143,4444,150,14426,True,276,22772
benchmarks\warehouse-10-20-10-2-1.txt,10143,4444,150,15402,True,269,24545
benchmarks\warehouse-10-20-10-2-1.txt,10143,4444,150,15337,True,223,16683
benchmarks\warehouse-10-20-10-2-1.txt,10143,4444,180,18336,True,240,24872
benchmarks\warehouse-10-20-10-2-1.txt,10143,4444,180,18817,True,259,29877
