map_name,scen_num,num_agents,solver,solved,soc,lb_soc,makespan,lb_makespan,comp_time
empty-8-8.map,13,10,CBS,1,41,-1,9,-1,0.393
empty-8-8.map,13,20,CBS,1,99,-1,10,-1,23.597
empty-8-8.map,13,30,CBS,-1,-1,-1,10,-1,30000.2
random-32-32-20.map,23,10,CBS,1,280,-1,43,-1,3.995
random-32-32-20.map,23,20,CBS,1,484,-1,43,-1,5.236
random-32-32-20.map,23,30,CBS,1,727,-1,43,-1,12.279
random-32-32-20.map,23,40,CBS,1,961,-1,43,-1,19.171
random-32-32-20.map,23,50,CBS,1,1206,-1,44,-1,75.033
random-32-32-20.map,23,60,CBS,-1,-1,-1,44,-1,30000.1
random-32-32-20.map,23,70,CBS,-1,-1,-1,44,-1,30000.1
random-32-32-20.map,23,80,CBS,-1,-1,-1,44,-1,30000.9
random-32-32-20.map,23,90,CBS,-1,-1,-1,44,-1,30005.1
random-32-32-20.map,23,100,CBS,-1,-1,-1,44,-1,30001.8
random-32-32-20.map,23,110,CBS,-1,-1,-1,44,-1,30000.399999999998
random-32-32-20.map,23,120,CBS,-1,-1,-1,44,-1,30000.2
random-32-32-20.map,23,130,CBS,-1,-1,-1,44,-1,30012.899999999998
random-32-32-20.map,23,140,CBS,-1,-1,-1,44,-1,30000.2
random-32-32-20.map,23,150,CBS,-1,-1,-1,44,-1,30000.2
random-32-32-20.map,23,160,CBS,-1,-1,-1,44,-1,30009.5
random-32-32-20.map,23,170,CBS,-1,-1,-1,44,-1,30001.6
random-32-32-20.map,23,180,CBS,-1,-1,-1,44,-1,30000.3
random-32-32-20.map,23,190,CBS,-1,-1,-1,44,-1,30000.0
random-32-32-20.map,23,200,CBS,-1,-1,-1,44,-1,30000.1
random-32-32-20.map,23,210,CBS,-1,-1,-1,44,-1,30010.0
random-32-32-20.map,23,220,CBS,-1,-1,-1,44,-1,30000.2
random-32-32-20.map,23,230,CBS,-1,-1,-1,44,-1,30000.2
random-32-32-20.map,23,240,CBS,-1,-1,-1,44,-1,30033.2
random-32-32-20.map,23,250,CBS,-1,-1,-1,44,-1,30001.899999999998
random-32-32-20.map,23,260,CBS,-1,-1,-1,44,-1,30000.3
random-32-32-20.map,23,270,CBS,-1,-1,-1,44,-1,30000.1
random-32-32-20.map,23,280,CBS,-1,-1,-1,44,-1,30043.5
random-32-32-20.map,23,290,CBS,-1,-1,-1,44,-1,30002.4
random-32-32-20.map,23,300,CBS,-1,-1,-1,44,-1,30000.0
random-32-32-20.map,23,310,CBS,-1,-1,-1,44,-1,30000.2
random-32-32-20.map,23,320,CBS,-1,-1,-1,44,-1,30000.1
random-32-32-20.map,23,330,CBS,-1,-1,-1,44,-1,30001.7
random-32-32-20.map,23,340,CBS,-1,-1,-1,44,-1,30001.2
random-32-32-20.map,23,350,CBS,-1,-1,-1,44,-1,30000.9
random-32-32-20.map,23,360,CBS,-1,-1,-1,44,-1,30003.8
random-32-32-20.map,23,370,CBS,-1,-1,-1,44,-1,30000.1
random-32-32-20.map,23,380,CBS,-1,-1,-1,44,-1,30004.899999999998
random-32-32-20.map,23,390,CBS,-1,-1,-1,44,-1,30000.1
random-32-32-20.map,23,400,CBS,-1,-1,-1,44,-1,30000.399999999998
random-32-32-20.map,19,10,CBS,1,239,-1,35,-1,3.9360000000000004
random-32-32-20.map,19,20,CBS,1,521,-1,44,-1,22.793999999999997
random-32-32-20.map,19,30,CBS,1,773,-1,44,-1,219.938
random-32-32-20.map,19,40,CBS,1,1007,-1,44,-1,929.693
random-32-32-20.map,19,50,CBS,1,1212,-1,44,-1,3135.2400000000002
random-32-32-20.map,19,60,CBS,-1,-1,-1,44,-1,30000.1
random-32-32-20.map,19,70,CBS,-1,-1,-1,44,-1,30000.2
random-32-32-20.map,19,80,CBS,-1,-1,-1,44,-1,30000.5
random-32-32-20.map,19,90,CBS,-1,-1,-1,44,-1,30000.1
random-32-32-20.map,19,100,CBS,-1,-1,-1,44,-1,30000.800000000003
random-32-32-20.map,19,110,CBS,-1,-1,-1,44,-1,30000.0
random-32-32-20.map,19,120,CBS,-1,-1,-1,44,-1,30000.2
random-32-32-20.map,19,130,CBS,-1,-1,-1,44,-1,30000.0
random-32-32-20.map,19,140,CBS,-1,-1,-1,44,-1,30072.8
random-32-32-20.map,19,150,CBS,-1,-1,-1,44,-1,30000.5
random-32-32-20.map,19,160,CBS,-1,-1,-1,44,-1,30002.300000000003
random-32-32-20.map,19,170,CBS,-1,-1,-1,44,-1,30035.8
random-32-32-20.map,19,180,CBS,-1,-1,-1,44,-1,30000.1
random-32-32-20.map,19,190,CBS,-1,-1,-1,44,-1,30024.4
random-32-32-20.map,19,200,CBS,-1,-1,-1,44,-1,30045.2
random-32-32-20.map,19,210,CBS,-1,-1,-1,44,-1,30001.4
random-32-32-20.map,19,220,CBS,-1,-1,-1,44,-1,30000.1
random-32-32-20.map,19,230,CBS,-1,-1,-1,44,-1,30003.5
random-32-32-20.map,19,240,CBS,-1,-1,-1,44,-1,30005.199999999997
random-32-32-20.map,19,250,CBS,-1,-1,-1,44,-1,30001.2
random-32-32-20.map,19,260,CBS,-1,-1,-1,44,-1,30035.399999999998
random-32-32-20.map,19,270,CBS,-1,-1,-1,44,-1,30000.2
random-32-32-20.map,19,280,CBS,-1,-1,-1,44,-1,30000.6
random-32-32-20.map,19,290,CBS,-1,-1,-1,44,-1,30006.1
random-32-32-20.map,19,300,CBS,-1,-1,-1,44,-1,30003.5
