map_name,map_size,obstacles_number,num_agents,solver,solved,soc,makespan,simulation_time
empty-48-48.map,2304,0,50,DCMAPF,True,1610,64,0.6
empty-48-48.map,2304,0,50,DCMAPF,True,1885,64,0.8
empty-48-48.map,2304,0,50,DCMAPF,True,1858,77,0.8
empty-48-48.map,2304,0,50,DCMAPF,True,1600,57,0.8
empty-48-48.map,2304,0,50,DCMAPF,True,1457,61,0.9
empty-48-48.map,2304,0,50,DCMAPF,True,1655,81,0.8
empty-48-48.map,2304,0,50,DCMAPF,True,1689,67,0.9
empty-48-48.map,2304,0,50,DCMAPF,True,1759,64,0.8
empty-48-48.map,2304,0,50,DCMAPF,True,1792,78,0.8
empty-48-48.map,2304,0,50,DCMAPF,True,1410,62,0.9
empty-48-48.map,2304,0,50,DCMAPF,True,1638,69,0.8
empty-48-48.map,2304,0,50,DCMAPF,True,1688,73,0.9
empty-48-48.map,2304,0,50,DCMAPF,True,1533,65,0.9
empty-48-48.map,2304,0,50,DCMAPF,True,1727,70,0.9
empty-48-48.map,2304,0,50,DCMAPF,True,1644,64,0.9
empty-48-48.map,2304,0,50,DCMAPF,True,1668,75,0.8
empty-48-48.map,2304,0,50,DCMAPF,True,1644,68,0.9
empty-48-48.map,2304,0,50,DCMAPF,True,1724,75,0.9
empty-48-48.map,2304,0,50,DCMAPF,True,1678,68,0.9
empty-48-48.map,2304,0,50,DCMAPF,True,1403,70,0.9
empty-48-48.map,2304,0,50,DCMAPF,True,1912,77,1.0
empty-48-48.map,2304,0,50,DCMAPF,True,1787,74,1.0
empty-48-48.map,2304,0,50,DCMAPF,True,1875,69,0.9
empty-48-48.map,2304,0,50,DCMAPF,True,1705,71,1.0
empty-48-48.map,2304,0,50,DCMAPF,True,1388,78,1.0
empty-48-48.map,2304,0,100,DCMAPF,True,2891,62,2.5
empty-48-48.map,2304,0,100,DCMAPF,True,3167,75,2.6
empty-48-48.map,2304,0,100,DCMAPF,True,3282,71,2.7
empty-48-48.map,2304,0,100,DCMAPF,True,3390,75,2.6
empty-48-48.map,2304,0,100,DCMAPF,True,3349,71,2.7
empty-48-48.map,2304,0,100,DCMAPF,True,3576,64,2.7
empty-48-48.map,2304,0,100,DCMAPF,True,3495,68,2.8
empty-48-48.map,2304,0,100,DCMAPF,True,3306,70,2.8
empty-48-48.map,2304,0,100,DCMAPF,True,3265,65,2.8
empty-48-48.map,2304,0,100,DCMAPF,True,3588,64,2.8
empty-48-48.map,2304,0,100,DCMAPF,True,3294,70,2.8
empty-48-48.map,2304,0,100,DCMAPF,True,3683,69,2.8
empty-48-48.map,2304,0,100,DCMAPF,True,3254,84,2.9
empty-48-48.map,2304,0,100,DCMAPF,True,3676,78,2.9
empty-48-48.map,2304,0,100,DCMAPF,True,3489,76,2.9
empty-48-48.map,2304,0,100,DCMAPF,True,3434,75,3.0
empty-48-48.map,2304,0,100,DCMAPF,True,3393,78,3.0
empty-48-48.map,2304,0,100,DCMAPF,True,3613,71,3.0
empty-48-48.map,2304,0,100,DCMAPF,True,3441,81,3.0
empty-48-48.map,2304,0,100,DCMAPF,True,3075,78,2.9
empty-48-48.map,2304,0,100,DCMAPF,True,3198,82,3.0
empty-48-48.map,2304,0,100,DCMAPF,True,3553,77,3.0
empty-48-48.map,2304,0,100,DCMAPF,True,3385,75,3.0
empty-48-48.map,2304,0,100,DCMAPF,True,3313,81,3.1
empty-48-48.map,2304,0,100,DCMAPF,True,3631,80,3.1
empty-48-48.map,2304,0,150,DCMAPF,True,5102,68,5.5
empty-48-48.map,2304,0,150,DCMAPF,True,5089,70,5.4
empty-48-48.map,2304,0,150,DCMAPF,True,5281,75,5.7
empty-48-48.map,2304,0,150,DCMAPF,True,4862,75,5.7
empty-48-48.map,2304,0,150,DCMAPF,True,5484,71,5.7
