map_name,scen_num,num_agents,solver,solved,soc,lb_soc,makespan,lb_makespan,comp_time
warehouse-20-40-10-2-2.map,22,10,PIBT,1,1526,1509,394,394,7
warehouse-20-40-10-2-2.map,22,20,PIBT,1,3202,3185,394,394,15
warehouse-20-40-10-2-2.map,22,30,PIBT,1,5088,5067,394,394,24
warehouse-20-40-10-2-2.map,22,40,PIBT,1,7496,7123,394,394,31
warehouse-20-40-10-2-2.map,22,50,PIBT,1,8795,8464,394,394,39
warehouse-20-40-10-2-2.map,22,60,PIBT,1,10601,10233,394,394,46
warehouse-20-40-10-2-2.map,22,70,PIBT,1,13219,12086,394,394,54
warehouse-20-40-10-2-2.map,22,80,PIBT,1,15314,14242,433,433,61
warehouse-20-40-10-2-2.map,22,90,PIBT,1,17081,16135,433,433,67
warehouse-20-40-10-2-2.map,22,100,PIBT,1,19593,18178,433,433,77
warehouse-20-40-10-2-2.map,22,110,PIBT,1,21151,19946,433,433,86
warehouse-20-40-10-2-2.map,22,120,PIBT,1,23336,21786,433,433,93
warehouse-20-40-10-2-2.map,22,130,PIBT,1,25467,23752,433,433,99
warehouse-20-40-10-2-2.map,22,140,PIBT,1,27838,25807,433,433,105
warehouse-20-40-10-2-2.map,22,150,PIBT,1,30592,27716,433,433,114
warehouse-20-40-10-2-2.map,22,160,PIBT,1,32495,29443,433,433,122
warehouse-20-40-10-2-2.map,22,170,PIBT,1,33672,31419,433,433,129
warehouse-20-40-10-2-2.map,22,180,PIBT,1,37082,33779,433,433,135
warehouse-20-40-10-2-2.map,22,190,PIBT,1,40143,35584,433,433,142
warehouse-20-40-10-2-2.map,22,200,PIBT,1,43263,37883,433,433,152
warehouse-20-40-10-2-2.map,22,210,PIBT,1,43761,39032,433,433,158
warehouse-20-40-10-2-2.map,22,220,PIBT,1,45105,40666,433,433,168
warehouse-20-40-10-2-2.map,22,230,PIBT,1,48332,42489,433,433,175
warehouse-20-40-10-2-2.map,22,240,PIBT,1,49824,43910,433,433,182
warehouse-20-40-10-2-2.map,22,250,PIBT,1,51150,45101,433,433,189
warehouse-20-40-10-2-2.map,22,260,PIBT,1,54697,47252,433,433,196
warehouse-20-40-10-2-2.map,22,270,PIBT,1,56714,49125,433,433,202
warehouse-20-40-10-2-2.map,22,280,PIBT,1,59472,51249,433,433,213
warehouse-20-40-10-2-2.map,22,290,PIBT,1,60311,52739,433,433,221
warehouse-20-40-10-2-2.map,22,300,PIBT,1,62769,54730,433,433,231
warehouse-20-40-10-2-2.map,22,310,PIBT,1,64756,55932,433,433,237
warehouse-20-40-10-2-2.map,22,320,PIBT,1,67844,57890,433,433,222
warehouse-20-40-10-2-2.map,22,330,PIBT,1,69915,60375,433,433,221
warehouse-20-40-10-2-2.map,22,340,PIBT,1,73104,61982,433,433,268
warehouse-20-40-10-2-2.map,22,350,PIBT,1,74845,63713,433,433,267
warehouse-20-40-10-2-2.map,22,360,PIBT,1,76574,65346,433,433,280
